Date,Close/Last,Volume,Open,High,Low
05/10/2022,$16.57,35775640,$16.81,$16.89,$16.185
05/09/2022,$16.32,37938940,$17.36,$17.575,$16.21
05/06/2022,$17.84,34359980,$18.45,$18.47,$17.61
05/05/2022,$18.54,32054520,$19.25,$19.515,$18.38
05/04/2022,$19.62,30759670,$18.83,$19.64,$18.75
05/03/2022,$19.13,30334210,$18.68,$19.3442,$18.34
05/02/2022,$18.56,32639380,$18.75,$18.955,$18.0337
04/29/2022,$18.77,24044940,$19.15,$19.51,$18.72
04/28/2022,$19.43,27601000,$19.13,$19.5574,$18.635
04/27/2022,$18.97,31101310,$18.675,$19.18,$18.47
04/26/2022,$18.77,33555830,$19.84,$19.98,$18.76
04/25/2022,$19.98,37047840,$19.975,$20.15,$19.48
04/22/2022,$20.18,42141920,$20.6,$21.15,$20.065
04/21/2022,$20.22,84042910,$21.255,$21.42,$20.11
04/20/2022,$19.48,43515020,$19.66,$20.07,$19.47
04/19/2022,$19.59,41227990,$18.86,$19.8,$18.86
04/18/2022,$18.54,27478850,$18.86,$19.09,$18.47
04/14/2022,$19,43180700,$18.99,$19.49,$18.88
04/13/2022,$18.95,90231900,$17.88,$18.99,$17.86
04/12/2022,$17.13,31461620,$17.13,$17.16,$16.69
04/11/2022,$16.97,24886190,$16.5,$17.23,$16.41
04/08/2022,$16.59,22627660,$16.87,$17.02,$16.57
04/07/2022,$16.95,42285210,$17.14,$17.2501,$16.37
04/06/2022,$17.38,40217770,$17.26,$17.67,$16.83
04/05/2022,$17.84,35187260,$18.35,$18.57,$17.58
04/04/2022,$18.23,23095440,$18.16,$18.37,$17.72
04/01/2022,$18.24,25182730,$18.3,$18.395,$18.065
03/31/2022,$18.25,33338170,$18.16,$18.45,$17.98
03/30/2022,$18.05,28866380,$17.92,$18.25,$17.775
03/29/2022,$18.16,58105510,$17.885,$18.43,$17.86
03/28/2022,$17.3,29985350,$17.27,$17.38,$16.82
03/25/2022,$17.01,39510270,$16.75,$17.44,$16.74
03/24/2022,$16.72,33893990,$16.31,$16.76,$16.1
03/23/2022,$16.21,31335960,$16.31,$16.46,$16.17
03/22/2022,$16.56,40143350,$16.2,$16.76,$16.085
03/21/2022,$16.09,45852570,$16.5,$16.54,$15.9
03/18/2022,$16.75,39040230,$16.35,$16.84,$16.16
03/17/2022,$16.55,41996250,$16.06,$16.565,$15.89
03/16/2022,$16.47,66907420,$15.845,$16.49,$15.53
03/15/2022,$15.57,76398350,$14.91,$15.8,$14.9
03/14/2022,$14.25,53284250,$14.04,$14.83,$13.7
03/11/2022,$14.02,48409530,$14.4,$14.56,$13.9
03/10/2022,$14.2,56571680,$13.82,$14.44,$13.46
03/09/2022,$14.3,88884230,$14.44,$14.75,$14.05
03/08/2022,$13.51,88067100,$13.035,$14.27,$12.4401
03/07/2022,$12.84,89360330,$14.32,$14.62,$12.77
03/04/2022,$14.59,76388690,$15.27,$15.4799,$14.42
03/03/2022,$15.71,47575090,$16.63,$16.75,$15.61
03/02/2022,$16.37,43654290,$16.5,$16.92,$16.2903
03/01/2022,$16.29,50513650,$16.97,$17.07,$16.08
02/28/2022,$17.25,51465660,$17.04,$17.425,$16.55
02/25/2022,$17.46,43874110,$17.16,$17.73,$16.99
02/24/2022,$16.96,56881500,$15.66,$17,$15.48
02/23/2022,$16.64,35359080,$17.62,$17.76,$16.61
02/22/2022,$17.43,32432680,$17.44,$17.95,$17.29
02/18/2022,$17.87,30507540,$18.22,$18.41,$17.75
02/17/2022,$18.22,29950290,$18.535,$18.67,$18.03
02/16/2022,$18.82,30557520,$18.565,$19.11,$18.5
02/15/2022,$18.84,46528680,$18.315,$18.905,$18.12
