Date,Close/Last,Volume,Open,High,Low
05/10/2022,$35.81,1319109,$36.64,$37.21,$35.18
05/09/2022,$35.97,2253020,$37.09,$37.19,$35.54
05/06/2022,$37.68,1587106,$38.43,$38.575,$36.8005
05/05/2022,$38.8,1599112,$38.86,$39.22,$37.56
05/04/2022,$39.57,1143298,$38.74,$39.79,$37.77
05/03/2022,$38.95,1078069,$38.39,$39.24,$37.76
05/02/2022,$38.22,1679853,$37.55,$38.295,$36.52
04/29/2022,$37.36,1595668,$38.31,$38.78,$37.19
04/28/2022,$38.78,1365200,$37.87,$38.98,$37.08
04/27/2022,$37.51,2660933,$38.2,$38.34,$36.94
04/26/2022,$38.16,1393059,$39.32,$39.6,$38.16
04/25/2022,$39.72,1578233,$38.69,$39.76,$38.27
04/22/2022,$38.99,2145956,$40.78,$40.78,$38.907
04/21/2022,$40.99,1769693,$42.81,$43.17,$40.87
04/20/2022,$42.18,2386748,$41.93,$42.77,$41.72
04/19/2022,$41.71,2364529,$39.91,$41.97,$39.91
04/18/2022,$39.98,2865520,$40.2,$40.45,$39.25
04/14/2022,$40.27,2274540,$40.28,$41.12,$40.2119
04/13/2022,$40.21,1913308,$39.02,$40.4,$38.99
04/12/2022,$39.1,3139105,$38.79,$39.94,$38.79
04/11/2022,$38.56,2313027,$38.52,$39.48,$38.11
04/08/2022,$38.64,2193488,$38.32,$39.22,$37.92
04/07/2022,$38.5,2641493,$37.17,$38.87,$36.94
04/06/2022,$37.31,3205365,$37.81,$38,$36.51
04/05/2022,$38.14,2460049,$38.27,$38.6,$37.52
04/04/2022,$38.6,2826658,$39.11,$39.12,$38.33
04/01/2022,$38.81,3320501,$39.83,$40.17,$38.55
03/31/2022,$39.4,3974675,$39.32,$39.84,$38.42
03/30/2022,$39.17,4364522,$39.51,$40.54,$38.35
03/29/2022,$39.53,8728912,$38.72,$40.02,$37.54
03/28/2022,$36.19,4523211,$36.37,$36.75,$35.66
03/25/2022,$36.53,2454659,$37.78,$37.78,$36.23
