Date,Close/Last,Volume,Open,High,Low
05/10/2022,$5.19,11288920,$5.22,$5.31,$4.99
05/09/2022,$5.14,9641407,$5.51,$5.57,$5.11
05/06/2022,$5.61,7545439,$5.74,$5.85,$5.545
05/05/2022,$5.82,6448191,$6.02,$6.035,$5.77
05/04/2022,$6.12,5707063,$5.89,$6.13,$5.72
05/03/2022,$5.88,5503236,$5.86,$5.98,$5.8
05/02/2022,$5.86,6701148,$5.69,$5.87,$5.605
04/29/2022,$5.72,5998252,$5.84,$6.015,$5.715
04/28/2022,$5.88,5348066,$5.67,$5.925,$5.57
04/27/2022,$5.6,6054098,$5.65,$5.8299,$5.58
04/26/2022,$5.7,7246990,$6.03,$6.06,$5.67
04/25/2022,$6.08,5446511,$5.97,$6.095,$5.94
04/22/2022,$6.06,8267331,$6.15,$6.205,$5.905
04/21/2022,$6.16,5939567,$6.47,$6.55,$6.135
04/20/2022,$6.41,4635806,$6.67,$6.67,$6.39
04/19/2022,$6.64,4913829,$6.52,$6.74,$6.45
04/18/2022,$6.5,4809460,$6.64,$6.6699,$6.425
04/14/2022,$6.68,4630849,$6.88,$6.93,$6.66
04/13/2022,$6.85,4255065,$6.71,$6.91,$6.5996
04/12/2022,$6.7,5649245,$6.83,$7.03,$6.64
04/11/2022,$6.76,5477213,$6.73,$6.82,$6.6011
04/08/2022,$6.8,5471775,$6.79,$7.01,$6.71
04/07/2022,$6.77,6628459,$6.88,$6.935,$6.6
04/06/2022,$6.92,7026216,$6.93,$7.025,$6.825
04/05/2022,$7.11,8772276,$7.03,$7.18,$6.9
04/04/2022,$7.06,8949637,$6.8,$7.06,$6.68
04/01/2022,$6.75,21689120,$6.9,$6.96,$6.52
03/31/2022,$7.46,12854520,$7.6,$7.62,$7.3679
03/30/2022,$7.59,10155080,$7.75,$7.82,$7.53
03/29/2022,$7.83,16883560,$7.72,$7.97,$7.61
03/28/2022,$7.67,15377270,$7.35,$7.78,$7.295
03/25/2022,$7.39,7344786,$7.63,$7.6398,$7.325
03/24/2022,$7.65,6098971,$7.56,$7.67,$7.385
03/23/2022,$7.55,10960440,$7.47,$7.8599,$7.39
03/22/2022,$7.48,12656750,$7.13,$7.57,$7.13
03/21/2022,$7.13,8861116,$7.28,$7.45,$7.08
03/18/2022,$7.03,7879117,$6.82,$7.12,$6.785
03/17/2022,$6.82,5341253,$6.54,$6.85,$6.49
03/16/2022,$6.57,7085155,$6.21,$6.58,$6.21
03/15/2022,$6.09,7559400,$5.95,$6.1,$5.88
03/14/2022,$5.94,6084414,$6.24,$6.25,$5.895
03/11/2022,$6.24,4120842,$6.56,$6.63,$6.23
03/10/2022,$6.51,10825090,$6.61,$6.76,$6.45
03/09/2022,$6.74,5228388,$6.49,$6.77,$6.4801
03/08/2022,$6.36,5713205,$6.27,$6.55,$6.2
03/07/2022,$6.3,5291718,$6.51,$6.6,$6.29
03/04/2022,$6.48,5356010,$6.73,$6.77,$6.45
03/03/2022,$6.73,4440728,$6.83,$6.9,$6.61
03/02/2022,$6.84,5708864,$6.78,$6.88,$6.6401
03/01/2022,$6.78,6755236,$6.88,$7,$6.72
02/28/2022,$6.87,5733298,$6.68,$6.9,$6.6238
02/25/2022,$6.72,5892109,$6.6,$6.72,$6.4
02/24/2022,$6.62,11565580,$5.85,$6.635,$5.8
02/23/2022,$6.26,7586235,$6.53,$6.66,$6.24
02/22/2022,$6.42,8646720,$6.47,$6.69,$6.33
02/18/2022,$6.65,7584936,$6.85,$6.945,$6.64
02/17/2022,$6.83,5926841,$7.08,$7.11,$6.83
02/16/2022,$7.15,4278365,$7.16,$7.18,$7.0019
02/15/2022,$7.19,5682831,$7.07,$7.215,$6.98
02/14/2022,$6.9,7303179,$6.98,$7.1817,$6.86
02/11/2022,$7.04,8309747,$7.22,$7.35,$6.985
02/10/2022,$7.23,8253479,$7.25,$7.587,$7.18
02/09/2022,$7.39,10347740,$7.35,$7.555,$7.28
02/08/2022,$7.29,5377434,$7.21,$7.35,$7.14
02/07/2022,$7.24,5392519,$7.41,$7.51,$7.23
02/04/2022,$7.37,8067629,$7.27,$7.4509,$7.13
02/03/2022,$7.27,14579810,$7.57,$7.6699,$7.27
02/02/2022,$7.72,12319650,$8.175,$8.18,$7.61
02/01/2022,$8.13,9295253,$8.235,$8.35,$8.05
01/31/2022,$8.23,19786570,$7.52,$8.33,$7.4
01/28/2022,$7.88,8896378,$7.53,$7.89,$7.44
01/27/2022,$7.55,10348150,$7.98,$8.045,$7.5
01/26/2022,$7.91,8418491,$8.29,$8.3791,$7.8721
01/25/2022,$8.08,8155547,$7.98,$8.22,$7.82
01/24/2022,$8.2,18070430,$8.23,$8.33,$7.62
01/21/2022,$8.54,10221240,$8.85,$8.915,$8.52
01/20/2022,$8.89,8433662,$9.01,$9.305,$8.87
01/19/2022,$8.93,8747573,$9.13,$9.32,$8.91
01/18/2022,$9.09,7455759,$8.94,$9.29,$8.85
01/14/2022,$9.04,5482608,$8.87,$9.08,$8.835
01/13/2022,$8.94,4328938,$9.23,$9.29,$8.91
01/12/2022,$9.2,5020714,$9.26,$9.345,$9.0435
01/11/2022,$9.2,8447477,$8.84,$9.35,$8.84
01/10/2022,$8.84,7247630,$8.82,$8.84,$8.51
01/07/2022,$8.86,6329661,$8.97,$9.23,$8.8
01/06/2022,$8.78,11285330,$8.79,$9.02,$8.47
01/05/2022,$8.78,9432681,$9.27,$9.3471,$8.78
