Date,Close/Last,Volume,Open,High,Low
05/10/2022,$22.02,17773230,$22.32,$22.72,$21.274
05/09/2022,$22.21,20669300,$23.24,$23.55,$22.11
05/06/2022,$24.12,17771540,$24.86,$25.0653,$23.785
05/05/2022,$25.03,17264440,$26.81,$27.12,$24.57
05/04/2022,$27.01,13263750,$26.13,$27.0673,$25.505
05/03/2022,$26.17,12816160,$25.6,$26.72,$25.6
05/02/2022,$25.92,17584060,$25.38,$25.935,$24.86
04/29/2022,$25.49,22748290,$27.75,$27.99,$25.4
04/28/2022,$27.44,16694580,$27.71,$27.77,$26.58
04/27/2022,$27.44,18730850,$27.23,$27.99,$26.79
04/26/2022,$26.56,24298090,$27.91,$28.1176,$26.35
04/25/2022,$27.74,39957980,$27.745,$28.59,$26.22
04/22/2022,$28.95,53475790,$31.33,$32.72,$28.48
04/21/2022,$29.58,25060040,$30.56,$31.66,$29.19
04/20/2022,$30.56,12605220,$31.27,$31.742,$30.26
04/19/2022,$31.43,11171580,$30.59,$31.45,$30.1
04/18/2022,$30.76,13456810,$31.18,$31.27,$30.04
04/14/2022,$30.84,15585000,$31.93,$32.53,$30.74
04/13/2022,$32.02,13220320,$31.17,$32.04,$30.81
04/12/2022,$30.8,14414120,$30.95,$31.75,$30.595
04/11/2022,$30.45,12401440,$30.55,$30.955,$29.66
04/08/2022,$30.77,13188970,$31.66,$31.9899,$30.69
04/07/2022,$31.39,16104410,$30.94,$31.73,$30.26
04/06/2022,$31.09,20489780,$32.2,$32.409,$27.5
04/05/2022,$32.54,21856900,$32.65,$34.04,$32.36
04/04/2022,$32.45,12306460,$32.39,$32.61,$31.79
04/01/2022,$32.36,16867360,$32.46,$33.25,$31.305
03/31/2022,$32.21,15564510,$32.18,$33.2,$32.04
03/30/2022,$32.13,16297390,$32.75,$33.04,$31.7747
03/29/2022,$31.97,26233330,$31.49,$32.04,$30.24
03/28/2022,$33.07,17480970,$32.6,$33.2015,$32.0127
03/25/2022,$33,22709540,$32.24,$33.34,$31.72
03/24/2022,$32.67,51991610,$29.55,$32.895,$29.44
03/23/2022,$29.16,17180750,$28.61,$29.695,$28.3
03/22/2022,$28.39,18928930,$28.9,$29.19,$28.325
03/21/2022,$28.69,22192160,$27.94,$29.115,$27.79
03/18/2022,$27.47,25038210,$27.27,$27.615,$26.53
03/17/2022,$27.45,26382960,$26.26,$27.72,$26.1801
03/16/2022,$26.18,24667880,$25.86,$26.84,$25.45
03/15/2022,$25.34,21472770,$24.83,$25.42,$23.98
03/14/2022,$25.11,23258380,$25.66,$25.95,$24.855
03/11/2022,$25.86,25981450,$25.73,$26.745,$25.47
03/10/2022,$26.44,28373400,$24.92,$26.53,$24.68
03/09/2022,$24.71,31857640,$23.85,$24.9,$23.37
03/08/2022,$23.68,37387420,$25.07,$25.5,$23.51
