Date,Close/Last,Volume,Open,High,Low
05/10/2022,$4.22,5619920,$4.45,$4.545,$4.03
05/09/2022,$4.23,6455348,$4.97,$4.99,$4.22
05/06/2022,$5.13,7339175,$5.72,$5.72,$4.55
05/05/2022,$5.94,2789358,$6.22,$6.24,$5.78
05/04/2022,$6.28,2972406,$6.18,$6.29,$5.78
05/03/2022,$6.04,2700963,$5.81,$6.18,$5.8
05/02/2022,$5.81,4460714,$5.82,$5.92,$5.58
04/29/2022,$5.86,2033777,$6.19,$6.285,$5.84
04/28/2022,$6.22,2348970,$6.27,$6.28,$5.935
04/27/2022,$6.16,2209750,$6.18,$6.325,$6.055
04/26/2022,$6.26,1732197,$6.44,$6.63,$6.21
04/25/2022,$6.5,2523553,$6.23,$6.565,$6.17
04/22/2022,$6.44,1893563,$6.6,$6.8184,$6.4
04/21/2022,$6.6,2390907,$7.23,$7.28,$6.54
04/20/2022,$7.07,2237678,$7.26,$7.26,$6.925
04/19/2022,$7.14,1739547,$7.12,$7.32,$7.09
04/18/2022,$7.1,1601066,$7.28,$7.28,$7.06
04/14/2022,$7.22,1711182,$7.462,$7.52,$7.2
04/13/2022,$7.5,2062183,$7.46,$7.64,$7.46
04/12/2022,$7.43,2086223,$7.71,$7.78,$7.375
04/11/2022,$7.47,2246319,$7.32,$7.58,$7.3
04/08/2022,$7.47,1865115,$7.79,$7.79,$7.45
04/07/2022,$7.74,2223665,$7.81,$7.955,$7.485
04/06/2022,$7.77,3044923,$8.05,$8.13,$7.6
04/05/2022,$8.19,3708854,$8.39,$8.6512,$8.18
04/04/2022,$8.33,2609004,$8.065,$8.375,$8.01
04/01/2022,$7.95,2097088,$8,$8.155,$7.82
03/31/2022,$7.94,2515164,$7.98,$8.215,$7.905
03/30/2022,$7.99,3434130,$7.93,$8.485,$7.8948
03/29/2022,$7.88,2850404,$7.69,$7.93,$7.615
03/28/2022,$7.69,3050688,$7.77,$7.8,$7.43
03/25/2022,$7.92,2742373,$7.72,$8.03,$7.6801
03/24/2022,$7.77,2864191,$7.75,$7.7828,$7.48
03/23/2022,$7.71,2917669,$7.85,$7.9866,$7.66
03/22/2022,$7.84,3295003,$7.76,$7.885,$7.63
03/21/2022,$7.74,4062909,$8.17,$8.26,$7.69
03/18/2022,$8,6802182,$7.87,$8.11,$7.8503
03/17/2022,$7.95,3954601,$7.36,$8.02,$7.325
03/16/2022,$7.33,3562578,$7.2,$7.355,$7.03
03/15/2022,$7.17,3652567,$7.015,$7.2,$6.71
03/14/2022,$7.21,5117060,$7.7,$7.72,$7.14
03/11/2022,$7.86,3784456,$8.33,$8.4,$7.86
03/10/2022,$8.19,3639046,$8.11,$8.34,$8.02
03/09/2022,$8.2,5044231,$7.978,$8.285,$7.875
03/08/2022,$8.03,7447518,$7.56,$8.29,$7.54
03/07/2022,$7.44,4512136,$7.49,$7.917,$7.39
03/04/2022,$7.39,3630711,$7.23,$7.48,$7.22
03/03/2022,$7.32,2438017,$7.58,$7.73,$7.21
03/02/2022,$7.56,3755379,$7.56,$7.65,$7.31
03/01/2022,$7.43,6501327,$7.4,$7.67,$7.24
02/28/2022,$7.27,5704115,$6.91,$7.29,$6.9
02/25/2022,$6.95,5356944,$6.46,$6.99,$6.17
02/24/2022,$6.52,4273078,$5.79,$6.57,$5.77
02/23/2022,$6.01,3140009,$6.1,$6.39,$5.99
02/22/2022,$5.98,2808592,$6.1,$6.255,$5.9
02/18/2022,$6.14,2370307,$6.25,$6.36,$6.09
02/17/2022,$6.31,1624542,$6.55,$6.605,$6.26
02/16/2022,$6.64,2036823,$6.65,$6.73,$6.58
02/15/2022,$6.65,2156383,$6.51,$6.725,$6.42
02/14/2022,$6.45,2945856,$6.51,$6.685,$6.401
02/11/2022,$6.6,3928892,$6.73,$6.84,$6.56
02/10/2022,$6.63,3882072,$6.61,$6.97,$6.57
02/09/2022,$6.74,2945604,$6.48,$6.75,$6.395
02/08/2022,$6.34,3138928,$6.16,$6.36,$6.091
02/07/2022,$6.2,3838122,$6.02,$6.255,$5.91
02/04/2022,$6,3316265,$5.92,$6.11,$5.855
02/03/2022,$5.86,2843805,$5.9,$6.05,$5.84
02/02/2022,$6.03,3171901,$6.33,$6.36,$6
02/01/2022,$6.34,4065773,$6.09,$6.445,$6.03
01/31/2022,$6.07,3880864,$5.7,$6.1,$5.7
01/28/2022,$5.69,3915575,$5.67,$5.71,$5.4
01/27/2022,$5.67,10133050,$6.17,$6.28,$5.43
01/26/2022,$5.7,15212210,$6.06,$6.55,$5.67
01/25/2022,$5.51,4862525,$5.11,$5.54,$5.06
01/24/2022,$5.24,5165924,$4.9,$5.27,$4.7
01/21/2022,$5.14,4223463,$5.34,$5.48,$5.13
01/20/2022,$5.51,2974321,$5.71,$5.96,$5.5
01/19/2022,$5.73,2775455,$5.92,$5.99,$5.68
01/18/2022,$5.77,3174171,$6.08,$6.11,$5.715
01/14/2022,$6.08,2980131,$5.98,$6.12,$5.87
01/13/2022,$6.04,2143522,$6.35,$6.358,$6.02
01/12/2022,$6.29,1864802,$6.4,$6.43,$6.22
01/11/2022,$6.35,2464881,$6.11,$6.395,$6
01/10/2022,$6.06,3140172,$6.15,$6.185,$5.86
01/07/2022,$6.2,2588582,$6.2,$6.265,$6.07
01/06/2022,$6.19,4382755,$6.19,$6.28,$5.94
01/05/2022,$6.07,4134620,$6.6,$6.6611,$6.06
01/04/2022,$6.63,3818769,$6.78,$6.78,$6.48
