Date,Close/Last,Volume,Open,High,Low
05/10/2022,$2.37,21326390,$2.76,$2.89,$2.3
05/09/2022,$2.41,13758160,$2.62,$2.62,$2.41
05/06/2022,$2.69,8062388,$2.77,$2.81,$2.61
05/05/2022,$2.83,5129856,$2.84,$2.92,$2.77
05/04/2022,$2.93,8561925,$2.78,$2.94,$2.595
05/03/2022,$2.78,4710084,$2.81,$2.88,$2.7125
05/02/2022,$2.82,6599123,$2.67,$2.8259,$2.655
04/29/2022,$2.69,4803016,$2.66,$2.82,$2.66
04/28/2022,$2.71,6887794,$2.65,$2.75,$2.51
04/27/2022,$2.61,5759274,$2.67,$2.77,$2.6
04/26/2022,$2.68,5099064,$2.86,$2.88,$2.68
04/25/2022,$2.89,6183209,$2.68,$2.91,$2.67
04/22/2022,$2.77,6732922,$2.85,$2.955,$2.7
04/21/2022,$2.88,6815897,$3.06,$3.14,$2.85
04/20/2022,$3.04,5290915,$3.06,$3.11,$2.95
04/19/2022,$3.03,5063774,$2.9,$3.1354,$2.88
04/18/2022,$2.91,8267831,$3.05,$3.1,$2.87
04/14/2022,$3.11,5104077,$3.15,$3.18,$3.07
04/13/2022,$3.15,5531435,$3.04,$3.23,$3.01
04/12/2022,$3.06,5688415,$3.09,$3.27,$3.02
04/11/2022,$3.09,5723573,$3.04,$3.1897,$2.995
04/08/2022,$3.14,4226181,$3.25,$3.25,$3.11
04/07/2022,$3.24,8683897,$3.33,$3.365,$3.1
04/06/2022,$3.36,6738600,$3.4,$3.435,$3.26
04/05/2022,$3.46,7589821,$3.62,$3.65,$3.41
04/04/2022,$3.65,7778557,$3.57,$3.7,$3.51
04/01/2022,$3.53,5721532,$3.55,$3.61,$3.48
03/31/2022,$3.55,7560795,$3.63,$3.65,$3.48
03/30/2022,$3.65,9277209,$3.71,$3.9,$3.59
03/29/2022,$3.76,9835929,$3.68,$3.768,$3.54
03/28/2022,$3.61,10845110,$3.52,$3.65,$3.335
03/25/2022,$3.52,7500211,$3.58,$3.595,$3.45
03/24/2022,$3.61,13830050,$3.82,$3.82,$3.5
