Date,Close/Last,Volume,Open,High,Low
05/10/2022,$15,1240056,$15.88,$16.19,$14.86
05/09/2022,$15.62,2613300,$14.86,$16.27,$14.845
05/06/2022,$15.65,1867773,$14.32,$16.22,$14.12
05/05/2022,$15.54,1642397,$16.42,$16.46,$15.2
05/04/2022,$16.71,817975,$16.18,$16.78,$15.8712
05/03/2022,$16.26,1377394,$15.6,$16.94,$15.39
05/02/2022,$15.57,675953,$14.89,$15.57,$14.74
04/29/2022,$15.13,973700,$15.33,$15.9301,$15.05
04/28/2022,$15.34,888798,$15.23,$15.68,$14.6263
04/27/2022,$15.11,766129,$15.34,$15.59,$15.03
04/26/2022,$15.39,1126970,$15.92,$16.12,$15.29
04/25/2022,$16.09,1205851,$15.9,$16.21,$15.69
04/22/2022,$16.15,2599528,$15.862,$17.26,$15.71
04/21/2022,$18.32,839159,$19.49,$19.67,$18.17
04/20/2022,$19.34,429039,$19.615,$19.76,$19.1209
04/19/2022,$19.66,621568,$19.6,$20.38,$19.505
04/18/2022,$19.63,478562,$19.64,$19.83,$19.18
04/14/2022,$19.58,359094,$20.26,$20.415,$19.58
04/13/2022,$20.31,616864,$20.29,$20.58,$19.93
04/12/2022,$20.24,475812,$20.76,$21.18,$20.15
04/11/2022,$20.56,485575,$20.02,$20.89,$20.01
04/08/2022,$20.37,307289,$20.5,$20.96,$20.3
04/07/2022,$20.78,560598,$21.23,$21.38,$20.29
04/06/2022,$21.2,537460,$20.86,$21.46,$20.6
04/05/2022,$21.43,509268,$21.83,$22.155,$21.37
04/04/2022,$22.16,597272,$21.08,$22.19,$21.08
04/01/2022,$21.06,369384,$21.17,$21.6799,$20.74
03/31/2022,$21.16,577039,$21.94,$22.09,$21.15
03/30/2022,$22.13,836073,$22.06,$22.91,$22
03/29/2022,$22.22,609324,$21.32,$22.22,$21.32
03/28/2022,$21.2,550645,$20.73,$21.249,$20.3689
03/25/2022,$20.64,451107,$21.16,$21.209,$20.36
03/24/2022,$21.13,364333,$21.03,$21.3,$20.6
03/23/2022,$20.88,457755,$20.67,$21.32,$20.62
03/22/2022,$21,506624,$20.54,$21.3932,$20.54
03/21/2022,$20.47,539395,$21.21,$21.26,$20.13
03/18/2022,$21.1,1101423,$20.46,$21.24,$20.46
03/17/2022,$20.63,606732,$20.1,$20.81,$20.03
03/16/2022,$20.38,1994383,$18.64,$20.43,$18.6
03/15/2022,$18.34,1184698,$17.77,$18.37,$17.45
03/14/2022,$17.79,1233562,$18.85,$18.94,$17.67
03/11/2022,$18.9,802696,$20.54,$20.66,$18.9
03/10/2022,$20.54,614547,$20.84,$21.06,$20.2
03/09/2022,$21.23,697940,$21.29,$21.58,$21
03/08/2022,$21.02,1072540,$21.75,$21.83,$20.94
03/07/2022,$21.94,1818173,$21.81,$23.13,$21.732
03/04/2022,$21.73,652244,$23.05,$23.18,$21.59
03/03/2022,$23.35,1035602,$23.26,$23.41,$22.38
03/02/2022,$23.19,801443,$22.33,$23.3599,$22.305
03/01/2022,$22.58,846778,$22.78,$23.2447,$22.4
02/28/2022,$23.08,1034944,$22.74,$23.77,$22.685
