Date,Close/Last,Volume,Open,High,Low
05/10/2022,$63.32,3738327,$65.12,$65.66,$62.21
05/09/2022,$64.33,3583378,$63.98,$65.62,$63.96
05/06/2022,$65.42,3510317,$65.96,$66.46,$64.795
05/05/2022,$66.14,3273010,$67.73,$68.14,$65.43
05/04/2022,$68.78,2639544,$67.22,$68.94,$65.55
05/03/2022,$66.38,3474766,$66.25,$67.55,$64.94
05/02/2022,$65.9,3804993,$65.68,$66.2083,$64.35
04/29/2022,$65.93,2604973,$67.3,$68.345,$65.65
04/28/2022,$67.58,2784091,$66.81,$67.58,$65.41
04/27/2022,$66.19,3181398,$66.44,$67.245,$65.68
04/26/2022,$66.17,2108901,$67.47,$68.22,$66.15
04/25/2022,$67.8,3120946,$66.84,$67.98,$65.56
04/22/2022,$67.29,2481175,$68.98,$69.28,$67.23
04/21/2022,$69.67,1637110,$71.815,$71.96,$69.5
04/20/2022,$70.56,2022380,$69.83,$71.46,$69.775
04/19/2022,$69.27,1759055,$68.45,$69.86,$68.39
04/18/2022,$68.6,1991707,$68.42,$69.255,$68.13
04/14/2022,$68.7,2698396,$68.98,$69.77,$68.5
04/13/2022,$68.97,1866354,$68.43,$69.05,$68.2001
04/12/2022,$68.46,2225704,$68.65,$69.82,$68.05
04/11/2022,$68.48,2446007,$68.5,$70.12,$68.01
04/08/2022,$68.84,3113012,$70.24,$70.44,$68.64
04/07/2022,$69.71,3656377,$70.02,$70.17,$67.49
04/06/2022,$70.18,4492884,$72.03,$72.13,$69.03
04/05/2022,$73,2270081,$74.36,$75.055,$72.83
04/04/2022,$74.88,2693678,$74.58,$75.3308,$74.02
04/01/2022,$74.75,2747965,$74.12,$74.94,$72.935
03/31/2022,$73.58,2992056,$75.83,$76.215,$73.55
03/30/2022,$76.54,1998029,$77.78,$78.015,$76.25
03/29/2022,$78,2087297,$77.54,$78.98,$77.47
03/28/2022,$76.34,1857199,$76.46,$76.6,$75.24
03/25/2022,$77.09,1249718,$76.57,$77.15,$76.075
03/24/2022,$76.3,1999056,$76.25,$76.45,$75.54
03/23/2022,$75.94,2125353,$76.57,$76.71,$75.3
03/22/2022,$77.03,2273108,$77.45,$77.86,$76.56
03/21/2022,$76.75,2558081,$77,$77.5,$75.87
03/18/2022,$76.71,5368583,$75.67,$76.81,$74.69
03/17/2022,$75.81,3061927,$73.02,$75.81,$73.02
03/16/2022,$74.24,2904569,$72.805,$75.375,$72.755
03/15/2022,$71.87,2567405,$72.1,$72.76,$70.435
03/14/2022,$71.74,3013745,$73.16,$73.46,$71.44
03/11/2022,$72.49,3720303,$72.6,$73.83,$72.26
03/10/2022,$72.08,2885629,$71.14,$72.62,$70.97
03/09/2022,$72.49,3915734,$71.01,$73.819,$70.55
03/08/2022,$68.81,4166959,$69.44,$70.805,$67.55
03/07/2022,$69.07,5419037,$73.65,$73.88,$69.01
03/04/2022,$74.39,3619416,$75.53,$75.54,$73.84
03/03/2022,$76.89,2132433,$77.65,$78.235,$76.04
03/02/2022,$77.1,3755612,$76.24,$77.9,$75.37
03/01/2022,$75.62,5270249,$77.48,$77.62,$74.66
02/28/2022,$77.37,4246639,$76.75,$78.18,$76.4
02/25/2022,$78.07,3135469,$75.91,$78.64,$75.88
02/24/2022,$75.57,5051583,$72.95,$76.02,$72.11
02/23/2022,$75.05,4773731,$78.45,$78.46,$74.74
02/22/2022,$77.96,3827272,$78.25,$78.89,$76.9609
02/18/2022,$78.77,5488791,$83.07,$84.08,$78.425
02/17/2022,$79.73,1801368,$81,$81.33,$79.25
02/16/2022,$82.12,2646207,$81.41,$82.52,$81.2
02/15/2022,$81.67,1804179,$79.84,$81.72,$79.75
02/14/2022,$79.32,1967580,$79.04,$80.21,$78.87
02/11/2022,$79.28,3852662,$80.53,$81.54,$78.93
02/10/2022,$80.33,3303398,$80.85,$82.53,$80.065
02/09/2022,$81.49,2889173,$80.69,$82.02,$80.48
02/08/2022,$80.13,4903592,$77.92,$80.465,$76.86
02/07/2022,$75.37,3582597,$76.03,$76.49,$75.26
02/04/2022,$76.06,3252124,$76.99,$77.68,$75.91
02/03/2022,$77.72,2295836,$78.48,$79.08,$77.66
02/02/2022,$79.15,2632743,$78.05,$79.37,$77.3
02/01/2022,$77.89,2985185,$76.88,$78.21,$76.41
01/31/2022,$76.6,4477077,$75.36,$76.62,$74.585
01/28/2022,$76.07,2201086,$76.11,$76.18,$74.19
01/27/2022,$76.49,2356049,$77.92,$78.73,$75.56
01/26/2022,$76.74,2384183,$77.23,$78.3231,$75.8
01/25/2022,$76.83,2628976,$76,$77.48,$74.4
01/24/2022,$77.15,3807785,$76.03,$77.46,$74.19
01/21/2022,$77.47,3068352,$78.43,$78.9,$76.92
01/20/2022,$79.18,3676812,$81.77,$81.84,$79.02
01/19/2022,$81.58,3371434,$83.91,$83.91,$81.48
01/18/2022,$83.77,4331522,$84.46,$84.46,$83.25
01/14/2022,$84.97,2544307,$82.9,$85.16,$82.29
01/13/2022,$84.01,1898153,$83.8,$84.96,$83.7
01/12/2022,$83.72,2137743,$83.16,$83.865,$82.67
01/11/2022,$83.03,1981721,$82.06,$83.09,$81.5
01/10/2022,$81.97,2269311,$82.19,$83.46,$81.13
01/07/2022,$83.19,3086079,$82.41,$83.63,$81.98
01/06/2022,$81.99,1666872,$82.76,$82.97,$81.24
01/05/2022,$81.79,2346481,$82.59,$83.71,$81.73
01/04/2022,$82.54,2702920,$81.07,$82.885,$80.93
01/03/2022,$80.66,2420427,$81.04,$82.25,$80.56
12/31/2021,$80.78,1608333,$79.97,$81.085,$79.79
12/30/2021,$80.13,1331270,$80.89,$81.39,$80.05
12/29/2021,$80.59,1126093,$80.3,$81.18,$80.3
12/28/2021,$80.45,2105432,$79.57,$80.85,$79.52
12/27/2021,$79.81,1937434,$78.6,$79.86,$78.435
12/23/2021,$78.54,2456546,$77.47,$79,$77
12/22/2021,$77,1444378,$76.35,$77.05,$75.985
12/21/2021,$76.49,1970105,$76.05,$77.0101,$76.05
12/20/2021,$75.21,2375392,$75.76,$75.76,$74.01
12/17/2021,$76.51,4949957,$78.44,$78.44,$76.32
12/16/2021,$78.71,3015060,$78.9,$80.19,$78.45
12/15/2021,$78.34,1994220,$77.53,$78.54,$76.92
12/14/2021,$77.64,2421557,$77.24,$78.85,$77.04
12/13/2021,$77.63,3179716,$79.68,$79.88,$77.62
12/10/2021,$80.04,2929179,$79.49,$80.26,$79.05
12/09/2021,$78.64,4623040,$77.45,$79.57,$77.23
12/08/2021,$78.26,3564555,$77.82,$78.78,$77.04
12/07/2021,$77.54,2395463,$76.995,$78.21,$76.6
12/06/2021,$76.39,3522596,$76.61,$77.22,$75.01
12/03/2021,$75.48,3776498,$75.38,$76.64,$74.8325
12/02/2021,$75.28,2275436,$74.18,$76.2,$74.06
12/01/2021,$73.79,2934518,$75.09,$77.07,$73.79
11/30/2021,$73.96,6205346,$75.9,$76.24,$73.02
11/29/2021,$77.04,2886897,$77.32,$77.78,$75.971
11/26/2021,$76.96,2129596,$76.65,$77.39,$75.79
11/24/2021,$78.7,1299959,$79.07,$79.43,$78.68
11/23/2021,$79.51,1684230,$79.28,$79.83,$79.12
11/22/2021,$79.22,1876725,$80,$80.87,$79.15
11/19/2021,$80.02,3449636,$79.34,$81.0725,$79.07
11/18/2021,$79.52,2896939,$79.59,$80,$78.75
11/17/2021,$79.29,3176430,$77.18,$79.68,$77.18
11/16/2021,$77.59,5478753,$78.79,$79.33,$77.27
11/15/2021,$78.77,2464612,$80.67,$80.75,$78.45
11/12/2021,$80.72,2611225,$81,$81.25,$80.315
11/11/2021,$80.98,2709457,$80.16,$81.06,$79.865
11/10/2021,$79.97,2507465,$80.98,$81.47,$79.9
