Date,Close/Last,Volume,Open,High,Low
05/10/2022,$93.5,4150803,$102.98,$106.06,$88
05/09/2022,$98.79,3316234,$110.78,$110.78,$98.08
05/06/2022,$114.7,1790408,$117.28,$120.56,$110.23
05/05/2022,$119.13,1753862,$123.94,$124.6784,$115.12
05/04/2022,$127.08,1662823,$119.21,$127.75,$115.72
05/03/2022,$120.43,1828171,$118.48,$124.4336,$114.42
05/02/2022,$119.57,2542986,$123.65,$125.39,$112.7
04/29/2022,$125.07,1285855,$127.3,$130.89,$123.01
04/28/2022,$129.31,1771223,$130.28,$132.6034,$120.5
04/27/2022,$129.84,1305874,$127.27,$132.68,$124.584
04/26/2022,$127.6,1545724,$135.64,$136.8,$126.1637
04/25/2022,$135.95,1534779,$135.41,$139.71,$133.2841
04/22/2022,$138.22,1569608,$142.55,$146.3,$135.55
04/21/2022,$141.56,1684367,$150,$153.12,$139.91
04/20/2022,$148.85,1162003,$152,$152.33,$146.65
04/19/2022,$152.47,2354169,$142.85,$152.98,$139.8595
04/18/2022,$141.46,2467781,$150,$151.24,$137.24
04/14/2022,$150.77,2500583,$149.27,$156.5,$147.22
04/13/2022,$150.7,2008225,$144.1,$152.13,$142.02
04/12/2022,$144.87,1999136,$146.5,$152.25,$141.665
04/11/2022,$146.93,2452979,$143.04,$148.22,$140.61
04/08/2022,$146.19,2592879,$149.09,$150.7106,$142.03
04/07/2022,$150,3827847,$154.11,$156.7,$141.57
04/06/2022,$156.64,4066958,$151.01,$159.2873,$149.7
04/05/2022,$153.59,3956316,$168,$168.43,$152
04/04/2022,$170.73,4640077,$166.98,$173.24,$156.51
04/01/2022,$165,13189560,$188.9,$189.7688,$155.26
03/31/2022,$166.58,11242230,$163.1,$175.745,$158.51
03/30/2022,$166.85,9169186,$175,$183.3369,$165
03/29/2022,$179.9,18011490,$188.24,$199.41,$163
03/28/2022,$189.59,16316520,$151.98,$190.84,$151.545
03/25/2022,$151.95,13383870,$140.04,$158.1599,$138.2
03/24/2022,$142.39,9100150,$134.015,$143.48,$126.76
03/23/2022,$141,24599840,$130,$150.9299,$126.55
03/22/2022,$123.14,15017230,$95.4,$125.79,$94.45
03/21/2022,$94.2,3953112,$90,$99.3992,$89.76
03/18/2022,$90.79,8922094,$79.74,$97.45,$78.9
03/17/2022,$87.7,3449120,$85.1,$89.58,$83.45
03/16/2022,$86.86,2653928,$85.11,$90.01,$82
03/15/2022,$82.64,3528798,$82.1,$87.56,$78.68
03/14/2022,$78.11,4533614,$93.43,$94.32,$77.58
03/11/2022,$92.69,2205538,$102.66,$102.9,$92.69
