Date,Close/Last,Volume,Open,High,Low
05/10/2022,$3.01,2413205,$3.25,$3.25,$2.87
05/09/2022,$3.1,2827368,$3.44,$3.46,$3.07
05/06/2022,$3.57,1789367,$3.65,$3.6993,$3.41
05/05/2022,$3.71,2640368,$3.87,$3.89,$3.54
05/04/2022,$3.97,3890051,$3.76,$3.99,$3.525
05/03/2022,$3.81,3442058,$3.55,$3.855,$3.52
05/02/2022,$3.62,3496121,$3.2,$3.62,$3.16
04/29/2022,$3.23,3492050,$3.11,$3.49,$3.09
04/28/2022,$3.15,3959343,$3.03,$3.175,$2.83
04/27/2022,$3.13,4783795,$3.005,$3.3,$2.97
04/26/2022,$2.99,3136512,$3.24,$3.25,$2.92
04/25/2022,$3.19,3834540,$2.97,$3.2299,$2.93
04/22/2022,$2.99,4434634,$2.97,$3.09,$2.85
04/21/2022,$2.97,4103770,$3.26,$3.32,$2.96
04/20/2022,$3.21,2710384,$3.44,$3.48,$3.18
04/19/2022,$3.35,2334067,$3.23,$3.4,$3.18
04/18/2022,$3.23,2624224,$3.39,$3.39,$3.17
04/14/2022,$3.38,3804029,$3.62,$3.62,$3.33
04/13/2022,$3.59,2485123,$3.64,$3.72,$3.53
04/12/2022,$3.59,3931280,$3.88,$3.939,$3.53
04/11/2022,$3.78,2644349,$3.79,$3.885,$3.69
04/08/2022,$3.83,3152043,$4.05,$4.05,$3.79
04/07/2022,$4.05,3702194,$4.22,$4.32,$3.9
04/06/2022,$4.22,3399502,$4.36,$4.4335,$4.11
04/05/2022,$4.49,3821415,$4.76,$4.8012,$4.45
04/04/2022,$4.8,4740177,$4.48,$4.845,$4.48
04/01/2022,$4.44,4697634,$4.66,$4.72,$4.32
03/31/2022,$4.67,4710394,$5.11,$5.12,$4.61
03/30/2022,$5.05,11034150,$5.21,$5.675,$4.93
03/29/2022,$5.55,28438900,$4.2,$5.86,$4.185
03/28/2022,$4.18,3722549,$4.12,$4.1999,$4.01
