Date,Close/Last,Volume,Open,High,Low
05/10/2022,$13.44,77181780,$14.26,$14.68,$12.86
05/09/2022,$13.55,63121040,$14.33,$14.525,$13.48
05/06/2022,$14.92,57655130,$15.61,$15.8135,$14.46
05/05/2022,$15.38,95761700,$17.41,$17.52,$14.87
05/04/2022,$18.13,53869900,$17.18,$18.215,$16.72
05/03/2022,$17.53,44062240,$17.29,$17.84,$16.95
05/02/2022,$17.5,56156150,$16.53,$17.5,$16.4
04/29/2022,$16.7,62933920,$17.78,$18.19,$16.658
04/28/2022,$16.93,53118540,$16.9,$17.24,$15.91
04/27/2022,$16.76,56633020,$16.52,$17.6863,$16.52
04/26/2022,$16.36,52771610,$17.235,$17.41,$16.16
04/25/2022,$17.31,54990870,$16.81,$17.4186,$16.18
04/22/2022,$17.18,60727310,$17.35,$18.29,$17.12
04/21/2022,$17.15,61501410,$18.34,$18.7,$16.98
04/20/2022,$18.15,53336380,$19.38,$19.45,$18.065
04/19/2022,$19.87,43394970,$19.05,$19.89,$18.36
04/18/2022,$19.17,40647450,$19.51,$19.64,$18.51
04/14/2022,$19.65,43937480,$20.09,$20.4,$19.53
04/13/2022,$20.42,57163190,$19.55,$20.56,$19.03
04/12/2022,$19.46,51210810,$20.03,$20.27,$19.22
04/11/2022,$19.7,93693820,$18.05,$20.07,$17.77
04/08/2022,$20,59574290,$20.11,$20.71,$19.83
04/07/2022,$20.36,82616960,$21.49,$21.68,$19.725
04/06/2022,$21.68,73501070,$22.04,$22.08,$20.93
04/05/2022,$22.47,69771970,$23.97,$23.98,$22.44
04/04/2022,$23.85,101886400,$23.31,$23.94,$22.78
04/01/2022,$21.93,110169300,$22.41,$23.22,$21.56
03/31/2022,$21.05,77641400,$22.28,$22.28,$20.76
03/30/2022,$22.17,114646500,$21.83,$23.86,$21.63
03/29/2022,$21.88,65946090,$21.58,$21.96,$21.02
03/28/2022,$21.21,75247210,$20.415,$21.23,$20.3201
03/25/2022,$19.91,106936200,$20.31,$20.75,$19.35
03/24/2022,$21.98,97155040,$22,$22.12,$20.66
03/23/2022,$21.87,88922040,$21.6,$22.6,$20.89
03/22/2022,$21.77,79808530,$20.84,$22.09,$20.59
03/21/2022,$20.26,89586420,$20.75,$21.2,$19.33
03/18/2022,$20.86,128531700,$18.83,$21.2399,$18.55
03/17/2022,$18.82,93328950,$17.93,$18.825,$17.44
03/16/2022,$18.75,168011700,$17.64,$18.77,$16.783
03/15/2022,$14.93,139771600,$13.48,$15.35,$13.01
03/14/2022,$14.1,115290300,$15.09,$15.74,$13.821
03/11/2022,$16.07,93265240,$18.11,$18.13,$16.07
03/10/2022,$17.77,105883600,$19,$19.1,$17.22
03/09/2022,$20.17,84306710,$18.56,$20.55,$18.51
03/08/2022,$17.98,74932450,$18.23,$18.75,$17.58
03/07/2022,$18.12,79649610,$18.85,$20.03,$18.04
03/04/2022,$18.63,68599390,$20.09,$20.29,$18.55
03/03/2022,$19.88,69419390,$21.73,$21.81,$19.7203
03/02/2022,$21.77,47212000,$21.9,$22.21,$20.63
03/01/2022,$21.87,50401980,$22.56,$23.345,$21.73
02/28/2022,$22.84,83996570,$21.43,$23.145,$20.935
02/25/2022,$20.94,56994030,$21.33,$21.57,$20.19
02/24/2022,$21.22,77198440,$18.5,$21.3093,$18.47
02/23/2022,$20.46,49465070,$22.02,$22.5,$20.45
02/22/2022,$21.77,56038240,$22.36,$22.96,$21.32
