Date,Close/Last,Volume,Open,High,Low
05/10/2022,$4.81,39593140,$4.84,$4.86,$4.73
05/09/2022,$4.78,38416090,$4.85,$4.89,$4.76
05/06/2022,$4.96,42865180,$5.04,$5.05,$4.935
05/05/2022,$5.11,45501520,$5.18,$5.22,$5.07
05/04/2022,$5.33,28011210,$5.19,$5.34,$5.16
05/03/2022,$5.23,46478000,$5.14,$5.28,$5.13
05/02/2022,$5.13,56168750,$4.97,$5.14,$4.96
04/29/2022,$5.04,42409390,$5.06,$5.12,$5.03
04/28/2022,$4.9,60763620,$5.03,$5.04,$4.753
04/27/2022,$5.04,45674860,$5.07,$5.11,$5
04/26/2022,$5.09,31870780,$5.21,$5.22,$5.08
04/25/2022,$5.21,40947430,$5.12,$5.22,$5.08
04/22/2022,$5.14,34456990,$5.28,$5.28,$5.12
04/21/2022,$5.27,30061800,$5.4,$5.41,$5.27
04/20/2022,$5.33,28273160,$5.33,$5.35,$5.29
04/19/2022,$5.2,24988720,$5.15,$5.23,$5.14
04/18/2022,$5.1,15062350,$5.07,$5.13,$5.03
04/14/2022,$5.11,21080850,$5.24,$5.265,$5.1
04/13/2022,$5.25,22584380,$5.22,$5.25,$5.18
04/12/2022,$5.18,22544560,$5.27,$5.3095,$5.15
04/11/2022,$5.29,19077290,$5.33,$5.36,$5.28
04/08/2022,$5.37,16916410,$5.41,$5.45,$5.36
04/07/2022,$5.44,22521010,$5.43,$5.45,$5.35
04/06/2022,$5.41,24163850,$5.46,$5.465,$5.355
04/05/2022,$5.52,26184210,$5.56,$5.57,$5.5
04/04/2022,$5.59,14703480,$5.565,$5.59,$5.55
04/01/2022,$5.55,17550400,$5.53,$5.55,$5.48
03/31/2022,$5.46,18254640,$5.52,$5.54,$5.46
03/30/2022,$5.53,25986540,$5.55,$5.595,$5.53
03/29/2022,$5.53,23298170,$5.56,$5.5757,$5.47
03/28/2022,$5.39,17026330,$5.365,$5.4,$5.32
03/25/2022,$5.37,18602200,$5.33,$5.38,$5.305
03/24/2022,$5.34,17752300,$5.3,$5.36,$5.28
03/23/2022,$5.28,17479220,$5.31,$5.34,$5.25
03/22/2022,$5.37,25156680,$5.36,$5.39,$5.32
03/21/2022,$5.3,20785250,$5.33,$5.36,$5.26
03/18/2022,$5.33,20828260,$5.22,$5.34,$5.22
03/17/2022,$5.32,22961990,$5.27,$5.33,$5.24
03/16/2022,$5.26,32842140,$5.24,$5.26,$5.1
03/15/2022,$5.1,26503780,$5.07,$5.1,$5.02
03/14/2022,$5.02,36673620,$5.05,$5.1,$4.98
03/11/2022,$4.81,24625730,$4.96,$4.98,$4.81
03/10/2022,$4.85,25449610,$4.86,$4.9199,$4.8
03/09/2022,$4.91,36988950,$4.9,$4.959,$4.84
03/08/2022,$4.71,50710930,$4.72,$4.82,$4.61
03/07/2022,$4.53,47979350,$4.76,$4.7799,$4.51
03/04/2022,$4.8,34034850,$4.75,$4.8499,$4.74
03/03/2022,$4.96,51214040,$5.15,$5.17,$4.94
03/02/2022,$5.33,28706020,$5.23,$5.365,$5.18
03/01/2022,$5.18,37545530,$5.29,$5.305,$5.14
02/28/2022,$5.35,36567070,$5.34,$5.42,$5.27
02/25/2022,$5.44,38478910,$5.44,$5.49,$5.41
02/24/2022,$5.39,46599940,$5.13,$5.4,$5.12
02/23/2022,$5.38,40536560,$5.56,$5.58,$5.37
02/22/2022,$5.51,33156650,$5.51,$5.595,$5.4416
02/18/2022,$5.66,26626040,$5.69,$5.71,$5.61
02/17/2022,$5.65,21700720,$5.74,$5.78,$5.62
02/16/2022,$5.84,27841270,$5.74,$5.85,$5.74
02/15/2022,$5.6,29926700,$5.51,$5.62,$5.51
02/14/2022,$5.43,27289180,$5.48,$5.5,$5.36
02/11/2022,$5.54,28640550,$5.67,$5.74,$5.52
02/10/2022,$5.65,21150540,$5.665,$5.77,$5.63
02/09/2022,$5.77,13622390,$5.73,$5.77,$5.7147
02/08/2022,$5.69,15663840,$5.67,$5.72,$5.66
02/07/2022,$5.73,23069490,$5.65,$5.77,$5.65
02/04/2022,$5.71,24879960,$5.73,$5.78,$5.66
02/03/2022,$5.72,32235260,$5.84,$5.91,$5.72
02/02/2022,$5.97,31203920,$5.95,$6,$5.93
02/01/2022,$5.94,25378660,$5.92,$5.95,$5.86
01/31/2022,$5.9,25122560,$5.8,$5.93,$5.79
01/28/2022,$5.72,33370690,$5.63,$5.72,$5.5125
01/27/2022,$5.59,44196390,$5.64,$5.69,$5.55
01/26/2022,$5.58,30882890,$5.7,$5.71,$5.51
01/25/2022,$5.57,37207580,$5.52,$5.63,$5.47
01/24/2022,$5.49,44977790,$5.4,$5.51,$5.26
01/21/2022,$5.51,64116780,$5.61,$5.69,$5.51
01/20/2022,$5.63,25855710,$5.75,$5.8,$5.63
01/19/2022,$5.74,23791150,$5.8,$5.84,$5.72
01/18/2022,$5.75,25252310,$5.88,$5.88,$5.735
01/14/2022,$5.93,27200460,$5.87,$5.93,$5.81
01/13/2022,$5.89,29341450,$6.01,$6.04,$5.88
01/12/2022,$6.09,28581970,$6.19,$6.22,$6.07
01/11/2022,$6.24,27926610,$6.14,$6.26,$6.1041
01/10/2022,$6.17,21384450,$6.08,$6.18,$6.04
