Date,Close/Last,Volume,Open,High,Low
05/10/2022,$312.37,1269044,$318.11,$320.26,$311.35
05/09/2022,$313.69,1175846,$331,$331.68,$312.73
05/06/2022,$336.88,1153321,$345.79,$346.93,$332.38
05/05/2022,$349.27,839856,$356.03,$357.16,$345.44
05/04/2022,$355.17,1008430,$348.08,$356.2,$345.94
05/03/2022,$357.01,904060,$361.05,$361.47,$353.29
05/02/2022,$360.05,1118485,$373.66,$374.95,$352.83
04/29/2022,$371.5,1385487,$395.14,$395.46,$370.43
04/28/2022,$398.97,577915,$395.14,$399.7,$390.785
04/27/2022,$391.38,671813,$395.7,$400.33,$391.07
04/26/2022,$394.2,799779,$400.69,$403.94,$393.54
04/25/2022,$399,933699,$402.92,$403.73,$392.77
04/22/2022,$402.36,571612,$412.1,$413.34,$402.01
04/21/2022,$412.57,548979,$420.53,$421.76,$412.52
04/20/2022,$419.9,591957,$413.35,$421.351,$413.07
04/19/2022,$413.17,520141,$411.99,$416.31,$411.02
04/18/2022,$409.61,658047,$408.53,$411.62,$407.385
04/14/2022,$408.5,510837,$406.56,$410.7,$404.065
04/13/2022,$405.65,583318,$407.43,$409.53,$402.815
04/12/2022,$406.77,598238,$401.73,$407.61,$398.93
04/11/2022,$401.8,638798,$409.36,$411.67,$398.815
04/08/2022,$408.95,526703,$409.99,$411.89,$408.24
04/07/2022,$409.2,609209,$405,$410.64,$402.18
04/06/2022,$408.58,839237,$397.28,$409.44,$394.61
04/05/2022,$395.72,803432,$392.32,$402.685,$392.32
04/04/2022,$394.1,584133,$396.62,$398.013,$388.46
04/01/2022,$396.51,617711,$391.27,$397.26,$390.56
03/31/2022,$390.28,1062460,$397.96,$400.45,$390.27
03/30/2022,$396.16,437170,$395.36,$397.4328,$393.34
03/29/2022,$396.47,921234,$392.5,$398.4,$382.59
03/28/2022,$383.36,691026,$376.62,$384.835,$376.06
03/25/2022,$376,528408,$374,$376.41,$371
03/24/2022,$373.12,646702,$368.04,$373.12,$368.01
03/23/2022,$368.05,710346,$370.03,$371.98,$366.17
03/22/2022,$370.38,649326,$369.46,$371.39,$365.13
03/21/2022,$367.56,658040,$366.76,$371.4406,$365.19
03/18/2022,$365.71,1344641,$371.57,$372.66,$363.99
03/17/2022,$365.78,619507,$358.68,$367.42,$358.66
03/16/2022,$357.72,891224,$356.58,$359.79,$351
03/15/2022,$355.14,812059,$362.9,$362.9,$351.94
03/14/2022,$360.07,673148,$368.37,$369.24,$358.71
03/11/2022,$365.99,455222,$370.02,$373.04,$365.75
03/10/2022,$369.67,604990,$367.51,$371.1,$366.205
03/09/2022,$369.63,647132,$370,$373.01,$365.5516
03/08/2022,$367.2,586203,$374.06,$375.52,$366.22
03/07/2022,$376.15,622691,$376.19,$380.42,$373.91
03/04/2022,$377.36,697380,$370.75,$379.85,$369.47
03/03/2022,$372.96,730963,$367,$374.1,$366
03/02/2022,$365.29,723518,$359.93,$366.16,$359.08
03/01/2022,$358.98,670581,$357.49,$362.32,$355.05
02/28/2022,$355.02,1040639,$358.59,$360.08,$352.56
02/25/2022,$362.7,839947,$353.91,$362.72,$353.124
02/24/2022,$351.63,1490497,$348.96,$353.29,$342.795
02/23/2022,$353.45,1342134,$373.19,$373.19,$352.27
02/22/2022,$342.38,802444,$342.92,$346.27,$340.08
02/18/2022,$343.56,681894,$345.18,$347.47,$343.33
02/17/2022,$346.06,693369,$350.98,$350.98,$345.77
02/16/2022,$351.72,500804,$352.62,$353.6,$347
02/15/2022,$351.59,701374,$357.8,$358.83,$350.66
02/14/2022,$355.64,685705,$357.93,$361.235,$354.35
02/11/2022,$358.17,553999,$359.42,$361.56,$353.7845
02/10/2022,$359.09,632509,$363.59,$367.57,$357.06
02/09/2022,$369.19,527381,$366.36,$369.57,$364.2
02/08/2022,$362.44,553536,$363.48,$365.63,$360.33
02/07/2022,$362.75,618158,$362.85,$364.7,$359.9
02/04/2022,$362.85,788806,$364.98,$367.51,$361
02/03/2022,$367.33,562922,$368.23,$369.63,$365.95
