Date,Close/Last,Volume,Open,High,Low
05/10/2022,$290.32,774962,$296.3,$296.85,$278.9711
05/09/2022,$290.5,1110359,$286.5,$304,$282.52
05/06/2022,$293.31,984746,$302.02,$306,$286.0701
05/05/2022,$309.21,1146353,$330.42,$331.32,$304.72
05/04/2022,$339.7,1008612,$341.91,$341.9799,$318.3
05/03/2022,$344.73,422296,$343.73,$348.4,$337.1
05/02/2022,$347.83,538736,$336.01,$348.07,$330.56
04/29/2022,$336.12,699864,$349.28,$355.45,$335.41
04/28/2022,$353,998378,$345.37,$354.56,$334.88
04/27/2022,$340.51,997965,$332.48,$346.39,$332
04/26/2022,$332.59,828165,$332.76,$342.42,$325.8
04/25/2022,$337.37,969433,$319.64,$337.67,$317.56
04/22/2022,$320,1085324,$334.04,$334.8145,$319.3501
04/21/2022,$337.16,876899,$341,$346.69,$334.72
04/20/2022,$338.35,657133,$348.72,$350.08,$337.91
04/19/2022,$348.39,947028,$329.14,$353.24,$329.14
04/18/2022,$327.56,1585979,$332.62,$339.8742,$324.7601
04/14/2022,$334.53,1632476,$350.3,$361.755,$331.67
04/13/2022,$353.22,895033,$343.1,$358.82,$342.18
04/12/2022,$346.6,1213891,$346.57,$359.5,$345
04/11/2022,$340.89,1004589,$327.82,$348.535,$327.14
04/08/2022,$335.78,1315181,$324.67,$342.92,$320.56
04/07/2022,$327.82,1516886,$334.01,$337.705,$313.845
04/06/2022,$335.07,1634464,$344.74,$346.99,$327.01
04/05/2022,$354.33,3096119,$343.06,$360.095,$342.76
04/04/2022,$330.85,2059809,$322,$330.9,$317
04/01/2022,$320.54,1676970,$326.95,$328.9999,$317.8901
03/31/2022,$326.09,2641724,$329.25,$330.97,$323.4
03/30/2022,$334.28,5586460,$353.51,$358.98,$332.78
03/29/2022,$385.69,2433181,$387.14,$390.85,$375.4
03/28/2022,$367.5,831139,$352.3,$368.11,$352.15
03/25/2022,$351.96,521195,$365.92,$365.92,$348.66
03/24/2022,$361.55,396962,$359.51,$363,$351.18
03/23/2022,$360.32,502526,$367.05,$368.33,$354.62
03/22/2022,$373.66,500035,$373.85,$382.43,$372.2101
03/21/2022,$369.83,448838,$371.4,$375.49,$360.5
03/18/2022,$374.5,645758,$360,$376.36,$360
