Date,Close/Last,Volume,Open,High,Low
05/10/2022,$7.81,12287800,$8.36,$8.445,$7.61
05/09/2022,$8.4,6240789,$8.6,$8.6,$8.2
05/06/2022,$8.58,5225528,$8.7,$8.77,$8.2101
05/05/2022,$8.76,4451352,$9.57,$9.57,$8.6726
05/04/2022,$9.65,4831121,$9.16,$9.71,$8.94
05/03/2022,$9.28,3383642,$8.98,$9.5,$8.955
05/02/2022,$9.01,4341093,$8.88,$9.094,$8.805
04/29/2022,$8.85,5514875,$8.94,$9.1501,$8.825
04/28/2022,$8.97,4112799,$8.84,$9.005,$8.49
04/27/2022,$8.69,3424478,$8.8,$8.92,$8.6
04/26/2022,$8.91,5338188,$9.21,$9.29,$8.815
04/25/2022,$9.39,8223918,$8.61,$9.54,$8.59
04/22/2022,$8.67,4936270,$9.22,$9.29,$8.66
04/21/2022,$9.24,4253143,$9.44,$9.5889,$9.22
04/20/2022,$9.29,4869919,$9.27,$9.53,$9.135
04/19/2022,$9.25,3565828,$9.31,$9.44,$9.175
04/18/2022,$9.21,3265531,$9.2,$9.365,$9.14
04/14/2022,$9.39,3565516,$9.7,$9.85,$9.342
04/13/2022,$9.6,6402665,$9.48,$9.715,$9.3616
04/12/2022,$9.55,3824964,$9.84,$10.0297,$9.535
04/11/2022,$9.84,4047525,$9.49,$10.09,$9.42
04/08/2022,$9.7,4747535,$9.82,$9.965,$9.605
04/07/2022,$9.89,6202705,$10.11,$10.27,$9.63
04/06/2022,$10.06,6969398,$10.78,$10.87,$10.01
04/05/2022,$10.89,4846252,$11.52,$11.54,$10.8
04/04/2022,$11.54,7696734,$11.02,$11.7,$11.02
04/01/2022,$11.04,3312453,$11.1,$11.33,$10.94
03/31/2022,$11.12,4087812,$11.33,$11.49,$11.04
03/30/2022,$11.14,2951138,$11.1,$11.43,$11
03/29/2022,$11.23,4970631,$10.95,$11.46,$10.84
03/28/2022,$10.87,5931124,$10.39,$10.94,$10.38
03/25/2022,$10.4,5448458,$10.83,$10.92,$10.383
03/24/2022,$10.89,3295435,$10.72,$11.02,$10.63
03/23/2022,$10.76,4839893,$10.6,$11.045,$10.6
03/22/2022,$10.75,6529091,$10.67,$11.13,$10.59
03/21/2022,$10.51,4797271,$10.92,$10.9999,$10.44
03/18/2022,$10.99,6111223,$10.51,$11.07,$10.465
03/17/2022,$10.55,4145118,$10.38,$10.65,$10.27
03/16/2022,$10.41,8098691,$10.4,$10.955,$10.07
03/15/2022,$10.25,5341930,$10.31,$10.49,$10.075
03/14/2022,$10.35,5161659,$10.86,$11.14,$10.275
03/11/2022,$11.04,3685387,$11.41,$11.4892,$11.03
03/10/2022,$11.41,4476371,$11.8,$11.8,$11.19
03/09/2022,$11.85,8096161,$11.85,$12.31,$11.49
03/08/2022,$11.68,6150571,$12.25,$12.5,$11.67
03/07/2022,$12.3,7700999,$13.17,$13.24,$12.3
03/04/2022,$14.22,6685960,$13.96,$14.25,$13.69
03/03/2022,$13.98,6576935,$13.87,$14.315,$13.51
03/02/2022,$13.8,6587952,$13.34,$13.9099,$13.035
03/01/2022,$13.38,6144021,$12.98,$13.46,$12.725
02/28/2022,$12.91,7775302,$12.06,$12.95,$12.06
02/25/2022,$12.23,9664673,$12.44,$12.7,$11.49
02/24/2022,$11.56,11537060,$10.69,$11.58,$10.55
02/23/2022,$11.08,7121359,$11.51,$11.7942,$11.0523
02/22/2022,$11.53,7865993,$12.05,$12.15,$11.48
02/18/2022,$12.55,3749444,$12.7,$12.84,$12.38
02/17/2022,$12.81,2823067,$12.82,$13.135,$12.76
02/16/2022,$13.05,5259100,$12.62,$13.345,$12.45
02/15/2022,$12.67,4216664,$12.54,$12.74,$12.205
02/14/2022,$12.28,3523526,$12.24,$12.615,$12.16
02/11/2022,$12.26,5241444,$12.21,$12.42,$11.96
02/10/2022,$12.21,5145268,$12.58,$12.98,$12.195
02/09/2022,$12.74,3535026,$12.57,$12.8665,$12.47
02/08/2022,$12.52,3488113,$12.35,$12.56,$12.1975
02/07/2022,$12.29,5572250,$12,$12.43,$11.99
02/04/2022,$11.92,6730033,$11.76,$12.13,$11.44
02/03/2022,$11.83,5564588,$12.05,$12.11,$11.73
02/02/2022,$12.2,5108730,$12.27,$12.3,$11.96
02/01/2022,$12.35,11227200,$12.55,$12.7,$11.84
01/31/2022,$12.64,5899221,$12.24,$12.64,$11.94
01/28/2022,$12.37,4539558,$12.2,$12.395,$11.95
01/27/2022,$12.38,3532357,$12.72,$12.945,$12.27
01/26/2022,$12.63,6053132,$13.2,$13.475,$12.35
01/25/2022,$13.08,4842518,$12.8,$13.33,$12.665
01/24/2022,$12.96,6565654,$12.5,$12.99,$12.07
01/21/2022,$12.92,4009279,$13.01,$13.15,$12.62
01/20/2022,$13.11,4576994,$13.39,$13.735,$13.09
01/19/2022,$13.26,5811610,$13.45,$13.76,$13.22
01/18/2022,$12.98,3512191,$13.19,$13.38,$12.945
01/14/2022,$13.42,9258353,$13.68,$13.8436,$13.09
01/13/2022,$13.86,5587912,$14.3,$14.31,$13.85
01/12/2022,$14.29,3437884,$14.32,$14.53,$14.08
01/11/2022,$14.17,3783042,$13.95,$14.36,$13.78
01/10/2022,$13.99,5244797,$14.11,$14.2782,$13.69
01/07/2022,$14.16,4282308,$14.34,$14.415,$13.99
01/06/2022,$14.01,4648250,$14.25,$14.5787,$13.9
01/05/2022,$14.18,4027003,$14.97,$14.9799,$14.165
01/04/2022,$14.98,5537841,$14.66,$15.2636,$14.61
01/03/2022,$14.73,4983235,$14.21,$14.91,$14.19
12/31/2021,$14,9744058,$14.625,$14.9101,$13.84
12/30/2021,$14.69,5764902,$14.29,$14.93,$14.28
12/29/2021,$14.29,4172782,$14.66,$14.6771,$14.26
12/28/2021,$14.71,3273745,$14.99,$15.11,$14.71
12/27/2021,$15.08,2854932,$15.3,$15.3,$15.02
12/23/2021,$15.27,2491723,$15.09,$15.38,$15.03
12/22/2021,$15.12,3309331,$14.76,$15.21,$14.76
12/21/2021,$14.82,4327811,$14.46,$14.975,$14.315
12/20/2021,$14.46,9424343,$15.24,$15.28,$14.0711
12/17/2021,$15.43,5736278,$15.58,$15.705,$15.02
12/16/2021,$15.58,3829011,$15.49,$16.03,$15.34
12/15/2021,$15.62,4530497,$16,$16.014,$15.16
12/14/2021,$15.92,3851434,$15.86,$16.455,$15.75
12/13/2021,$15.9,3761458,$16.1,$16.2,$15.695
12/10/2021,$16.16,3500039,$16.29,$16.44,$16.11
12/09/2021,$16.31,3149596,$16.31,$16.5196,$16.125
12/08/2021,$16.38,2412206,$16.41,$16.65,$16.12
12/07/2021,$16.31,3997258,$16.12,$16.6,$16.06
12/06/2021,$15.89,4575043,$15.6,$16.22,$15.215
12/03/2021,$15.7,3085434,$15.89,$15.9,$15.44
12/02/2021,$15.89,3685491,$15.34,$16.0241,$15.28
12/01/2021,$15.32,4713297,$15.57,$16.29,$15.26
11/30/2021,$15.5,4563371,$15.48,$16,$15.305
11/29/2021,$15.73,4485788,$15.75,$16.145,$15.2521
11/26/2021,$15.69,2967350,$15.49,$15.965,$15.43
11/24/2021,$15.74,2542426,$15.43,$15.885,$15.35
11/23/2021,$15.42,2692452,$15.46,$15.53,$15.06
11/22/2021,$15.41,4372460,$15.46,$15.59,$14.94
11/19/2021,$15.42,3379536,$15.54,$15.9,$15.405
11/18/2021,$15.61,5462448,$15.5,$15.69,$15.08
11/17/2021,$15.59,7347041,$16.33,$16.33,$15.43
11/16/2021,$16.48,3527172,$16.4,$16.615,$16.18
11/15/2021,$16.48,3028284,$16.78,$17.08,$16.48
11/12/2021,$16.7,3231376,$16.36,$16.82,$16.25
11/11/2021,$16.29,3988373,$16.67,$16.67,$16.13
11/10/2021,$16.57,4477083,$16.77,$17.3,$16.56
11/09/2021,$16.86,4183966,$16.81,$17.27,$16.745
11/08/2021,$16.85,5928352,$17.13,$17.37,$16.6
11/05/2021,$17.2,6476785,$17.59,$17.69,$16.75
11/04/2021,$17.86,6959175,$17.6,$18.13,$17.6
11/03/2021,$17.62,8198944,$17.35,$17.78,$16.93
11/02/2021,$17.37,5590073,$17.85,$17.86,$16.98
11/01/2021,$17.57,8700475,$16.51,$17.88,$16.5
10/29/2021,$16.48,16051020,$15.7,$17.01,$15.69
10/28/2021,$15.78,4696792,$16.11,$16.18,$15.53
10/27/2021,$16.04,3466353,$16.43,$16.675,$16.01
10/26/2021,$16.53,2890219,$16.73,$16.85,$16.38
10/25/2021,$16.63,2288617,$16.52,$16.86,$16.43
10/22/2021,$16.51,3185816,$16.82,$16.82,$16.33
10/21/2021,$16.9,2147866,$16.97,$17.23,$16.875
10/20/2021,$16.98,2372581,$16.93,$17.01,$16.66
10/19/2021,$16.82,3903928,$16.87,$17.06,$16.61
10/18/2021,$16.77,3621705,$16.36,$17,$16.3
10/15/2021,$16.48,5716754,$16.07,$16.965,$16.07
10/14/2021,$16.01,3079827,$16,$16.14,$15.8912
10/13/2021,$15.82,3988283,$15.44,$15.97,$15.415
10/12/2021,$15.29,2779646,$15.15,$15.36,$15.0396
10/11/2021,$15.12,3448291,$15,$15.26,$14.94
10/08/2021,$15,3942742,$15.28,$15.415,$14.99
10/07/2021,$15.35,3175717,$15.38,$15.515,$15.29
10/06/2021,$15.25,3056057,$15.36,$15.73,$15.2
10/05/2021,$15.5,4844971,$15.2,$15.656,$15.1
10/04/2021,$15.26,5456336,$15.79,$15.8,$15.1
10/01/2021,$15.86,4769640,$16.04,$16.12,$15.7901
09/30/2021,$16.04,4904518,$16.36,$16.38,$15.825
09/29/2021,$16.33,2803169,$16.45,$16.59,$16.31
09/28/2021,$16.42,4041430,$16.9,$16.9058,$16.375
09/27/2021,$16.99,3109558,$17.04,$17.26,$16.765
09/24/2021,$16.98,3449782,$16.83,$17.12,$16.83
09/23/2021,$16.88,3410082,$16.86,$17.025,$16.6301
09/22/2021,$16.68,2966418,$16.75,$16.99,$16.64
09/21/2021,$16.55,2393326,$16.69,$16.87,$16.495
09/20/2021,$16.59,5326035,$16.34,$16.73,$16.23
09/17/2021,$16.78,6446213,$16.92,$16.96,$16.64
09/16/2021,$16.78,2977478,$16.62,$16.99,$16.62
09/15/2021,$16.76,3085000,$16.7,$16.87,$16.62
09/14/2021,$16.71,3275329,$16.93,$17.215,$16.65
09/13/2021,$16.93,4357095,$16.71,$17.085,$16.52
09/10/2021,$16.61,3975478,$17,$17.03,$16.6
09/09/2021,$16.91,3324301,$16.9,$17.1069,$16.88
09/08/2021,$16.92,4261864,$17.2,$17.2,$16.9
09/07/2021,$17.06,5361536,$17.13,$17.42,$16.95
09/03/2021,$17.09,4705547,$17.3,$17.315,$17.025
09/02/2021,$17.31,4157633,$17.39,$17.44,$17.245
09/01/2021,$17.39,5048850,$17.34,$17.53,$17.23
08/31/2021,$17.35,4441088,$17.48,$17.54,$17.3
