Date,Close/Last,Volume,Open,High,Low
05/10/2022,$0.4,106685700,$0.4265,$0.4265,$0.375
05/09/2022,$0.4103,85334920,$0.442,$0.4479,$0.405
05/06/2022,$0.4545,64960230,$0.4622,$0.465,$0.4444
05/05/2022,$0.4648,67396170,$0.49,$0.4943,$0.46
05/04/2022,$0.4968,66597850,$0.4816,$0.4995,$0.4701
05/03/2022,$0.485,60270370,$0.483,$0.4949,$0.475
05/02/2022,$0.4824,73426140,$0.463,$0.4865,$0.46
04/29/2022,$0.4694,110465000,$0.4935,$0.5147,$0.4668
04/28/2022,$0.5065,110300500,$0.538,$0.5399,$0.4953
04/27/2022,$0.5275,89120030,$0.505,$0.5339,$0.5
04/26/2022,$0.5007,68555160,$0.5317,$0.5394,$0.495
04/25/2022,$0.5307,64721820,$0.5263,$0.5339,$0.515
04/22/2022,$0.5205,71151240,$0.5,$0.538,$0.5
04/21/2022,$0.5057,72797340,$0.534,$0.5389,$0.5018
04/20/2022,$0.5259,73885160,$0.5574,$0.558,$0.5209
04/19/2022,$0.5564,59124150,$0.5303,$0.5591,$0.525
04/18/2022,$0.5356,64896550,$0.5398,$0.5515,$0.5205
04/14/2022,$0.5305,109662200,$0.5635,$0.573,$0.53
04/13/2022,$0.5928,63915650,$0.5803,$0.5987,$0.5602
04/12/2022,$0.569,62304750,$0.5655,$0.6218,$0.5649
04/11/2022,$0.5636,68401240,$0.5681,$0.575,$0.5506
04/08/2022,$0.5601,70841700,$0.5797,$0.584,$0.56
04/07/2022,$0.5837,110180100,$0.6244,$0.6245,$0.57
04/06/2022,$0.6316,107634100,$0.65,$0.658,$0.6203
04/05/2022,$0.646,109123900,$0.6617,$0.6688,$0.62
04/04/2022,$0.6714,150447400,$0.7068,$0.7144,$0.64
04/01/2022,$0.7,173626800,$0.703,$0.748,$0.6946
03/31/2022,$0.7,141924100,$0.7381,$0.74,$0.6855
03/30/2022,$0.7182,209822600,$0.733,$0.7986,$0.7147
03/29/2022,$0.7251,221102400,$0.7421,$0.7575,$0.7028
03/28/2022,$0.7781,223352800,$0.766,$0.8,$0.73
03/25/2022,$0.8121,672351600,$0.8659,$0.8914,$0.7117
03/24/2022,$0.746,352694100,$0.6192,$0.7698,$0.615
03/23/2022,$0.606,102776400,$0.6265,$0.6279,$0.595
03/22/2022,$0.5848,92710540,$0.5419,$0.5888,$0.5327
03/21/2022,$0.5316,54279650,$0.5418,$0.55,$0.5153
03/18/2022,$0.522,71853210,$0.4975,$0.54,$0.4956
03/17/2022,$0.5037,50183920,$0.482,$0.512,$0.47
03/16/2022,$0.4845,51442570,$0.4703,$0.4944,$0.4703
03/15/2022,$0.4712,47650990,$0.455,$0.474,$0.452
03/14/2022,$0.4685,49032800,$0.4624,$0.4698,$0.45
03/11/2022,$0.475,35144940,$0.5,$0.501,$0.4698
03/10/2022,$0.4971,39639680,$0.4959,$0.4988,$0.473
03/09/2022,$0.5027,47243480,$0.4959,$0.508,$0.491
03/08/2022,$0.4834,66138820,$0.47,$0.504,$0.455
03/07/2022,$0.472,50399330,$0.494,$0.4985,$0.464
03/04/2022,$0.4985,40882830,$0.505,$0.5094,$0.49
03/03/2022,$0.51,42230300,$0.5234,$0.5269,$0.499
03/02/2022,$0.5256,62766440,$0.5105,$0.528,$0.5
03/01/2022,$0.5055,43570020,$0.515,$0.528,$0.5011
02/28/2022,$0.5173,53379080,$0.5,$0.53,$0.5
02/25/2022,$0.5113,62664630,$0.5265,$0.5375,$0.495
02/24/2022,$0.5179,90143310,$0.4692,$0.522,$0.46
02/23/2022,$0.5101,65587100,$0.5411,$0.5499,$0.51
02/22/2022,$0.5236,61425490,$0.5445,$0.5598,$0.515
02/18/2022,$0.575,66243600,$0.611,$0.611,$0.572
02/17/2022,$0.6113,58283960,$0.63,$0.637,$0.604
02/16/2022,$0.6392,119001000,$0.6177,$0.662,$0.6022
02/15/2022,$0.6218,85538210,$0.6192,$0.6339,$0.6156
02/14/2022,$0.61,109729800,$0.6361,$0.655,$0.604
02/11/2022,$0.6629,246995900,$0.5586,$0.6666,$0.555
02/10/2022,$0.5592,95424240,$0.5445,$0.5901,$0.54
02/09/2022,$0.569,182140600,$0.5529,$0.5828,$0.53
02/08/2022,$0.5034,67236980,$0.506,$0.52,$0.4836
02/07/2022,$0.5034,59926020,$0.54,$0.5415,$0.501
02/04/2022,$0.53,111094800,$0.48,$0.5357,$0.4791
02/03/2022,$0.485,32755960,$0.4677,$0.4888,$0.4626
02/02/2022,$0.4868,53722610,$0.4934,$0.4964,$0.4642
02/01/2022,$0.4921,70741210,$0.4958,$0.5,$0.47
01/31/2022,$0.4777,83465800,$0.4461,$0.487,$0.4425
01/28/2022,$0.4534,67001990,$0.432,$0.4669,$0.4246
01/27/2022,$0.4316,61034760,$0.4681,$0.473,$0.43
01/26/2022,$0.4587,60363220,$0.5003,$0.502,$0.45
01/25/2022,$0.4764,64005150,$0.452,$0.4895,$0.4414
01/24/2022,$0.46,136567700,$0.4511,$0.46,$0.4
01/21/2022,$0.4783,92940020,$0.503,$0.51,$0.4659
01/20/2022,$0.5184,56303610,$0.526,$0.547,$0.5171
01/19/2022,$0.5209,76360610,$0.5525,$0.5547,$0.52
01/18/2022,$0.5465,56399860,$0.5572,$0.562,$0.5411
01/14/2022,$0.564,44673120,$0.561,$0.5748,$0.5555
01/13/2022,$0.5604,64913000,$0.587,$0.591,$0.56
01/12/2022,$0.5802,53288040,$0.59,$0.5989,$0.5763
01/11/2022,$0.5875,55139730,$0.5798,$0.5987,$0.5788
01/10/2022,$0.5854,96898860,$0.6004,$0.6097,$0.5751
01/07/2022,$0.5958,68082870,$0.5814,$0.613,$0.5761
01/06/2022,$0.582,115886600,$0.6199,$0.627,$0.5605
01/05/2022,$0.612,95113550,$0.625,$0.665,$0.61
01/04/2022,$0.6406,76407690,$0.62,$0.644,$0.599
01/03/2022,$0.6185,104540600,$0.59,$0.62,$0.587
12/31/2021,$0.5783,98963470,$0.6007,$0.6092,$0.5777
12/30/2021,$0.5941,94787250,$0.5889,$0.6297,$0.584
12/29/2021,$0.5904,62428610,$0.6023,$0.6092,$0.5824
12/28/2021,$0.6109,75823750,$0.63,$0.6447,$0.6097
12/27/2021,$0.6418,66194160,$0.663,$0.6652,$0.6352
12/23/2021,$0.67,89751120,$0.656,$0.69,$0.65
12/22/2021,$0.655,121323500,$0.6225,$0.6593,$0.618
12/21/2021,$0.6251,94514090,$0.603,$0.6338,$0.5999
12/20/2021,$0.5918,46162840,$0.5876,$0.5989,$0.58
12/17/2021,$0.6041,92266790,$0.5717,$0.6245,$0.57
12/16/2021,$0.5885,69986550,$0.5719,$0.589,$0.557
12/15/2021,$0.5602,88559250,$0.5597,$0.5643,$0.5255
12/14/2021,$0.5623,62548280,$0.557,$0.57,$0.55
12/13/2021,$0.57,55762250,$0.5807,$0.5808,$0.556
12/10/2021,$0.5856,56143270,$0.604,$0.6048,$0.575
12/09/2021,$0.5971,57882230,$0.6119,$0.63,$0.5951
12/08/2021,$0.6165,89655910,$0.61,$0.6396,$0.597
12/07/2021,$0.5977,84409330,$0.5857,$0.6145,$0.5857
12/06/2021,$0.5744,90743160,$0.5535,$0.5839,$0.5302
12/03/2021,$0.564,105392500,$0.5993,$0.6,$0.5511
12/02/2021,$0.592,119213000,$0.5766,$0.6048,$0.5699
12/01/2021,$0.5655,146192700,$0.632,$0.638,$0.5585
11/30/2021,$0.6218,114001400,$0.6345,$0.6408,$0.601
11/29/2021,$0.635,89707320,$0.6591,$0.6647,$0.635
11/26/2021,$0.6541,60793740,$0.6502,$0.6685,$0.6405
