Date,Close/Last,Volume,Open,High,Low
05/10/2022,$5.85,15537140,$6.36,$6.42,$5.6
05/09/2022,$6.07,12586340,$6.59,$6.6,$6.06
05/06/2022,$6.8,18950920,$7.08,$7.09,$6.3509
05/05/2022,$7.5,12625870,$8.14,$8.14,$7.4
05/04/2022,$8.26,10323970,$7.9,$8.32,$7.51
05/03/2022,$7.93,8000502,$7.81,$8.11,$7.695
05/02/2022,$7.89,8698011,$7.45,$7.89,$7.38
04/29/2022,$7.49,7929259,$7.9,$8.175,$7.48
04/28/2022,$7.9,10304230,$7.76,$8,$7.2802
04/27/2022,$7.71,8451542,$7.76,$8.04,$7.61
04/26/2022,$7.79,6674446,$8.26,$8.34,$7.79
04/25/2022,$8.33,10567810,$7.99,$8.41,$7.94
04/22/2022,$7.99,8624924,$8.14,$8.32,$7.8
04/21/2022,$7.99,10465160,$8.58,$8.735,$7.86
04/20/2022,$8.42,9154102,$9.13,$9.1718,$8.4
04/19/2022,$9.19,12183880,$8.52,$9.22,$8.48
04/18/2022,$8.56,8090238,$8.93,$8.95,$8.335
04/14/2022,$8.99,5878794,$9.08,$9.1688,$8.8
04/13/2022,$9.12,6330435,$8.84,$9.19,$8.705
04/12/2022,$8.82,10404850,$8.88,$9.2408,$8.625
04/11/2022,$8.72,8796452,$8.56,$9.1,$8.29
04/08/2022,$8.69,7928880,$8.91,$8.99,$8.57
04/07/2022,$8.99,9180214,$9.07,$9.32,$8.56
04/06/2022,$9.11,14943250,$9.39,$9.4,$8.805
04/05/2022,$9.61,12182920,$10.58,$10.69,$9.58
04/04/2022,$10.54,9721926,$10.14,$10.685,$10.07
04/01/2022,$9.99,9931382,$9.98,$10.4,$9.741
03/31/2022,$9.88,13556960,$10.56,$10.65,$9.87
03/30/2022,$10.69,13839870,$10.8,$11.14,$10.46
03/29/2022,$11.01,30799570,$9.9,$11.25,$9.9
03/28/2022,$9.76,9594804,$9.46,$9.915,$9.259
03/25/2022,$9.43,7039860,$9.73,$9.74,$9.28
03/24/2022,$9.73,8210275,$9.6,$9.8,$9.29
03/23/2022,$9.57,9911307,$9.54,$9.87,$9.32
03/22/2022,$9.65,10640290,$9.33,$9.785,$9.25
