Date,Close/Last,Volume,Open,High,Low
05/10/2022,$70.65,5319297,$71.36,$71.97,$70.14
05/09/2022,$71.1,4329884,$71.09,$71.7,$70.66
05/06/2022,$72.21,4743892,$72.33,$72.67,$71.51
05/05/2022,$72.78,5204676,$74.08,$74.09,$72.09
05/04/2022,$74.03,5599199,$72.96,$74.115,$72.59
05/03/2022,$73.04,3225283,$72.19,$73.55,$72.07
05/02/2022,$72.01,4017431,$72.46,$72.54,$70.885
04/29/2022,$72.24,4732377,$73.09,$73.43,$72.16
04/28/2022,$73.16,5436531,$71.66,$73.3,$71.33
04/27/2022,$70.72,1966450,$71.01,$71.51,$70.445
04/26/2022,$71.33,1976578,$72.31,$72.59,$71.32
04/25/2022,$73.13,2548879,$72.71,$73.42,$71.51
04/22/2022,$73.32,2316120,$75,$75,$73.12
04/21/2022,$75.25,1666796,$76.59,$77.45,$75.045
04/20/2022,$76.15,1694322,$75.71,$76.66,$75.52
04/19/2022,$74.88,1792038,$74.45,$75,$74.18
04/18/2022,$74.24,1257389,$74.38,$74.775,$74.02
04/14/2022,$74.5,2136664,$74.61,$75.08,$74.44
04/13/2022,$74.69,2201571,$74.25,$74.955,$73.7
04/12/2022,$74.85,2223332,$76.97,$77.02,$74.74
04/11/2022,$76.51,1933169,$76.54,$77.48,$76.32
04/08/2022,$76.96,1431489,$76.62,$77.74,$76.53
04/07/2022,$76.62,4313810,$77.94,$78.22,$75.92
04/06/2022,$79.12,3458871,$79.92,$79.93,$78.69
04/05/2022,$80.22,1850461,$80.82,$81.47,$80.1
04/04/2022,$80.48,2551904,$79.69,$80.53,$79.27
04/01/2022,$79.5,1681157,$80.04,$80.26,$78.81
03/31/2022,$79.42,2150656,$80.67,$81.28,$79.18
03/30/2022,$81.27,1634597,$81.47,$81.76,$80.545
03/29/2022,$81.27,1428750,$82.23,$82.38,$80.94
03/28/2022,$81.47,1687615,$81.27,$81.5,$80.6
03/25/2022,$81.71,1497829,$80.93,$81.745,$80.57
03/24/2022,$80.59,1641976,$80.82,$81.04,$80.165
03/23/2022,$80.42,1951261,$81.41,$81.52,$80.23
03/22/2022,$81.89,2668759,$82.05,$82.64,$81.81
03/21/2022,$81.66,1822507,$81.15,$81.84,$81
03/18/2022,$80.92,1828685,$80.64,$81.3,$80.07
03/17/2022,$80.97,1768353,$79.5,$80.99,$79.5
03/16/2022,$79.7,2228785,$79.25,$80.13,$78.09
03/15/2022,$78.26,1782655,$77.5,$78.36,$76.35
03/14/2022,$77.19,3083104,$77.61,$78.44,$76.88
03/11/2022,$76.96,1526017,$77.42,$78.18,$76.905
03/10/2022,$76.96,1649735,$76.34,$77.375,$75.925
03/09/2022,$76.85,2231365,$76.67,$77.4,$76.19
03/08/2022,$74.69,3120083,$76.07,$76.55,$74.21
03/07/2022,$75.83,3101513,$76.35,$76.91,$75.61
03/04/2022,$77.45,2505044,$76.56,$77.75,$75.93
03/03/2022,$77.49,2335980,$79.21,$80.01,$77.32
03/02/2022,$80.32,2651306,$78.06,$80.43,$78.06
03/01/2022,$77.6,3207821,$80.49,$80.78,$77.23
02/28/2022,$80.69,3936141,$81.2,$81.71,$80.025
02/25/2022,$82.43,2023387,$80.59,$82.615,$80.43
02/24/2022,$79.92,3845947,$78.57,$80.0308,$78.14
02/23/2022,$82.08,2527599,$83.545,$83.77,$81.77
02/22/2022,$83.09,3136473,$82.71,$83.36,$81.94
02/18/2022,$83.22,2022914,$83.9,$84.08,$83.17
