Date,Close/Last,Volume,Open,High,Low
05/10/2022,$3.6,5766566,$3.52,$4,$3.43
05/09/2022,$3.48,2349447,$3.56,$3.58,$3.38
05/06/2022,$3.62,2180807,$3.74,$3.78,$3.535
05/05/2022,$3.74,1249346,$3.81,$3.812,$3.64
05/04/2022,$3.87,1170618,$3.75,$3.88,$3.66
05/03/2022,$3.77,1703204,$3.63,$3.91,$3.63
05/02/2022,$3.68,2129134,$3.71,$3.745,$3.6
04/29/2022,$3.71,2284061,$3.66,$3.865,$3.65
04/28/2022,$3.69,2959044,$3.52,$3.78,$3.41
04/27/2022,$3.47,1824624,$3.54,$3.5899,$3.41
04/26/2022,$3.52,1284622,$3.71,$3.73,$3.51
04/25/2022,$3.76,2182914,$3.61,$3.78,$3.545
04/22/2022,$3.65,1806419,$3.75,$3.77,$3.63
04/21/2022,$3.76,1551304,$3.85,$3.9097,$3.71
04/20/2022,$3.85,1118612,$3.95,$3.99,$3.85
04/19/2022,$3.95,1384176,$3.91,$3.99,$3.845
04/18/2022,$3.91,1156316,$3.92,$3.98,$3.82
04/14/2022,$3.89,2109632,$4.01,$4.05,$3.87
04/13/2022,$3.98,1825820,$3.93,$4.07,$3.85
04/12/2022,$3.88,4742857,$4.14,$4.24,$3.88
04/11/2022,$4.13,1759947,$4.08,$4.315,$4.055
04/08/2022,$4.11,849976,$4.12,$4.215,$4.06
04/07/2022,$4.12,1689968,$4.2,$4.25,$4.07
04/06/2022,$4.23,1780323,$4.33,$4.36,$4.2
04/05/2022,$4.36,1254543,$4.6,$4.61,$4.36
04/04/2022,$4.6,2560727,$4.49,$4.642,$4.43
04/01/2022,$4.49,1463488,$4.56,$4.6,$4.4
03/31/2022,$4.53,1268655,$4.54,$4.55,$4.455
03/30/2022,$4.5,1996153,$4.56,$4.61,$4.435
03/29/2022,$4.56,1959549,$4.45,$4.56,$4.39
03/28/2022,$4.44,2485646,$4.27,$4.44,$4.19
03/25/2022,$4.25,2094960,$4.41,$4.41,$4.24
03/24/2022,$4.41,1808851,$4.42,$4.5525,$4.4
03/23/2022,$4.41,2845674,$4.56,$4.62,$4.38
03/22/2022,$4.62,2249932,$4.6,$4.73,$4.54
03/21/2022,$4.58,1668880,$4.7,$4.85,$4.55
03/18/2022,$4.68,4344052,$4.58,$4.72,$4.58
03/17/2022,$4.7,4421144,$4.36,$4.74,$4.36
03/16/2022,$4.49,5000221,$4.17,$4.63,$4.16
03/15/2022,$4.1,2850471,$4.12,$4.15,$4.01
03/14/2022,$4.14,1431234,$4.4,$4.41,$4.1
03/11/2022,$4.37,1539149,$4.44,$4.46,$4.28
